"CAMPUS_TRADING_NAME","coordinates","EDUCATION_SECTOR","EDUCATIONAL_FACILITY_PROVIDER_CODE","EDUCATIONAL_FACILITY_COMPANY_NAME","EDUCATIONAL_FACILITY_TRADING_NAME","LOCATION_NAME","CITY_REGIONAL_FLAG","AREA","Source","UNIVERSITY_CAMPUS_LONG","UNIVERSITY_CAMPUS_LAT","Cambodia","Canada","China","France","Hong Kong","India","Indonesia","Ireland","Italy","Japan","Korea, Republic of (South)","Macau","Malawi","Malaysia","Malta","Myanmar, The Republic of the Union of","Nepal","Netherlands","Pakistan","Papua New Guinea","Philippines","Portugal","Russian Federation","Saudi Arabia","Singapore","South Africa","Sri Lanka","Sweden","Taiwan","Thailand","Turkey","Ukraine","United Arab Emirates","United Kingdom British - Citizen","United Kingdom British - National (Overseas)","United States of America","Venezuela, Bolivarian Republic of","Vietnam","Zambia","Zimbabwe"
"Nova Institute of Technology","c(-37.7887, 144.94)","All sectors","02856B","Nova International Education Pty Ltd","Nova Institute of Technology","Nova Institute of Technology, 185 Boundary Road North Melbourne","No","0.4","International student data 14/01/2018",144.94,-37.7887,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Flinders International College","c(-37.8517, 144.981)","All sectors","03453B","Masters In Training Pty Ltd","Flinders International College","St Kilda Rd","No","0.4","International student data 14/01/2018",144.981,-37.8517,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Elite Training Institute","c(-37.7394, 144.946)","VET","03470A","Elite Training Institute Pty Ltd","Elite Training Institute Pty Ltd,325 - 327 Bell Street","Elite Training Institute Pty Ltd,325 - 327 Bell Street, 325 - 327 Bell Street","No","0.4","International student data 14/01/2018",144.946,-37.7394,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Sunraysia Institute of TAFE, Mildura Campus","c(-34.2038, 142.169)","VET","01985A","Sunraysia Institute of TAFE","Sunraysia Institute of TAFE,Sunraysia Institute of TAFE","Sunraysia Institute of TAFE","Yes","1","International student data 14/01/2018",142.169,-34.2038,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Federation University, Ballarat Campus","c(-37.5622, 143.85)","All sectors","00103D","Federation University Australia","Federation University Australia","Federation University Ballarat","Yes","0.6","International student data 14/01/2018",143.85,-37.5622,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"University of Canberra, UC Melbourne - Chadstone Campus","c(-37.882, 145.101)","Higher Education","00212K","University of Canberra","University of Canberra,UC Melbourne - Chadstone Campus","UC Melbourne - Chadstone Campus","No","0.4","International student data 14/01/2018",145.101,-37.882,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"RC (Rhodes College)","c(-37.8157, 144.961)","All sectors","02992E","Queens Group Pty Ltd","RC (Rhodes College)","RC (Rhodes College), 118 Queen Street","No","0.6","International student data 14/01/2018",144.961,-37.8157,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Marcus Oldham College","c(-38.1927, 144.305)","All sectors","00306D","Marcus Oldham College","Marcus Oldham College,Marcus Oldham College","Marcus Oldham College","Yes","0.4","International student data 14/01/2018",144.305,-38.1927,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Education Training & Employment Australia, ETEA","c(-37.7559, 145.065)","Non-award","02925E","Education Training & Employment Australia Pty Ltd","Education Training & Employment Australia Pty Ltd","Education Training & Employment Australia Pty Ltd, 158 Burgundy Street, Heidelberg","No","0.4","International student data 14/01/2018",145.065,-37.7559,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Monash University, Gippsland Campus","c(-38.3169, 146.427)","Higher Education","00008C","Monash University (Monash)","Monash University","Gippsland","Yes","0.4","International student data 14/01/2018",146.427,-38.3169,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Gordon Institute of TAFE, East Geelong ELICOS Campus","c(-38.1412, 144.354)","ELICOS","00011G","Gordon Institute of TAFE","Gordon Institute of TAFE,Gordon Institute of TAFE","Gordon Institute of TAFE","Yes","0.4","International student data 14/01/2018",144.354,-38.1412,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Latrobe College of Art and Design","c(-37.8036, 144.991)","VET","03157K","LaTrobe International Galleries Pty. Ltd.","Latrobe College of Art and Design","Latrobe College of Art and Design, 138 Cromwell St Collingwood VIC","No","0.4","International student data 14/01/2018",144.991,-37.8036,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Victorian Academy Of Commerce and Technology Startups (VACTS)","c(-37.7505, 144.965)","All sectors","03477E","Vanshraj Enterprises Pty Ltd","Victorian Academy Of Commerce and Technology Startups","Sydney Road, Coburg","No","0.4","International student data 14/01/2018",144.965,-37.7505,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"South Australian College of English (SACE) Melbourne College of English","c(-37.8217, 144.955)","ELICOS","00094M","South Australian College of English Pty Ltd","South Australian College of English Pty Ltd,Tower 4, Level 5, World Trade Centre, 18-38 Siddeley Street, Melbourne, Victoria 3005","South Australian College of English Pty Ltd,Tower 4, Level 5, World Trade Centre, 18-38 Siddeley Street, Melbourne, Victoria 3005, Tower 4, Level 5, World Trade Centre, 18-38 Siddeley Street, Melbourne, Victoria 3005","No","0.8","International student data 14/01/2018",144.955,-37.8217,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Pax Institute of Education","c(-37.8141, 144.961)","All sectors","03152D","Pax Institute of Education Pty Ltd","Pax Institute of Education Pty Ltd,Level 16, 190 Queen Street Melbourne","Pax Institute of Education Pty Ltd,Level 16, 190 Queen Street Melbourne, Level 16, 190 Queen Street Melbourne","No","0.4","International student data 14/01/2018",144.961,-37.8141,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"ALACC Health College, Australia","c(-37.6889, 145.065)","VET","02933E","Australasian Lawrence Aged Care College Pty Ltd","Australasian Lawrence Aged Care College Pty Ltd,Australasian Aged Care College Pty Ltd","Australasian Aged Care College Pty Ltd","No","0.6","International student data 14/01/2018",145.065,-37.6889,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Central Melbourne Institute","c(-37.8524, 145.037)","VET","03351G","Malvern Institute Pty Ltd","Malvern International College, Central Melbourne Institute","Malvern Institute Pty Ltd","No","0.4","International student data 14/01/2018",145.037,-37.8524,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Dalton College","c(-37.8131, 144.956)","All sectors","03450E","Global Education Consultant Pty Ltd","Dalton College","Dalton College, Level 1, 533 Little Lonsdale Street","No","1.1","International student data 14/01/2018",144.956,-37.8131,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Australian Catholic University, Ballarat Campus","c(-37.5579, 143.844)","All sectors","00004G","Australian Catholic University Limited","Australian Catholic University","Australian Catholic University-Ballarat Campus","Yes","0.8","International student data 14/01/2018",143.844,-37.5579,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"MEGT Institute, Melbourne Campus","c(-37.8164, 144.967)","All sectors","02517K","MEGT (Australia) Ltd","MEGT Institute","MEGT Institute, 55 Swanston St","No","0.4","International student data 14/01/2018",144.967,-37.8164,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Australian Institute of Technical Training  (AITT), Melbourne Campus","c(-37.8178, 144.964)","VET","02868J","Australian Institute of Technical Training Pty Ltd","Australian Institute of Technical Training Pty Ltd","Australian Institute of Technical Training Pty Ltd, Level 2, 335 Flinders Lane","No","0.4","International student data 14/01/2018",144.964,-37.8178,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Australian Centre of Further Education","c(-37.8104, 144.958)","VET","03377J","Australian Centre of Further Education PTY LTD","Australian Centre of Further Education PTY LTD","Australian Centre of Further Education PTY LTD, Level 5, 341 Queen Street Melbourne","No","0.6","International student data 14/01/2018",144.958,-37.8104,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Explore English","c(-37.8155, 144.966)","All sectors","03024A","Melbourne City Institute of Education Pty Ltd, as trustee for MCIE Unit Trust","Melbourne City Institute of Education, Explore English","Melbourne City Institute of Education, Explore English, Level 5, 250 Collins St","No","1.1","International student data 14/01/2018",144.966,-37.8155,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Australian National Airline College","c(-37.9761, 145.09)","VET","02530B","Moorabbin Aviation Services Pty Ltd","Australian National Airline College","Moorabbin Aviation Services Pty Ltd","No","0.4","International student data 14/01/2018",145.09,-37.9761,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Fusion Enlgish, Melbourne Campus","c(-37.8139, 144.966)","All sectors","03056D","The Language Pod Pty Ltd","Fusion English Brisbane, Fusion English","Fusion English Brisbane, Fusion English, Level 1 and 2, 158-160 Swanston St, Melbourne","No","0.4","International student data 14/01/2018",144.966,-37.8139,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
"Australian Catholic Univeristy, Melbourne Campus","c(-37.8082, 144.978)","All sectors","00004G","Australian Catholic University Limited","Australian Catholic University","Australian Catholic University-Melbourne Campus","No","1","International student data 14/01/2018",144.978,-37.8082,0,0,2,0,1,1,0,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,2,0,2,0,6,9,1,0,0,4,0,9,3,23,1,4
