,LOCATION,SUBURB_TOWN_NAME,SUBURB_RESIDENTS,SUBURB_LONG,SUBURB_LAT,FID,DOMAIN_URL,REAL_ESTATE_COM_AU_URL,SUBURB_MOST_COMMON_EXPENSE_TIER,SUBURB_PRICE_RANGE_RANK,SUBURB_PRICE_RANK_IN_PERCENTILE,SUBURB_RENTAL_PRICE_SCALE_RANK,SUBURB_OFFENCES_PER_10000_POPULATION,TOTAL_2016_ADJUSTED_OFFENCES_PER_SUBURB_TOWN_NAME,SUBURB_TOWN_NAME_2016_ADJUSTED_CRIME_RANK,SUBURB_TOWN_NAME_2016_ADJUSTED_CRIME_RANK_PERCENTILE,ADJUSTED_CRIME_RANK_SCALE,SUBURB_MOST_INT_STUDENT_LANG,INT_STUDENT_POPULATION_ARRIVAL_ALL_YEARS,TOTAL_INT_STUDENTS_PER_SUBURB,TOTAL_INT_STUDENT_PER_LANGUAGE,TMP_INT_STUDENT_NATIVE_LANG,TMP_SUBURB_STUDENT_POPULATION_SCALE_RANK,Acholi,"African Languages, nec","African Languages, nfd",Afrikaans,Akan,Albanian,Amharic,Anuak,Arabic,Armenian,Assyrian Neo-Aramaic,Bengali,Bisaya,Bosnian,Bulgarian,Burmese,"Burmese and Related Languages, nec","Burmese and Related Languages, nfd",Cantonese,Catalan,Cebuano,Chaldean Neo-Aramaic,Chin Haka,"Chinese, nfd","Creole, nfd",Croatian,Czech,Danish,Dari,Dhivehi,Dinka,"Dravidian, nec",Dutch,English,Estonian,Fijian,Filipino,Finnish,French,"French Creole, nfd",German,Greek,Gujarati,Hakka,Harari,Hausa,Hazaraghi,Hebrew,Hindi,Hungarian,Iban,Igbo,Ilonggo (Hiligaynon),Inadequately described,Indonesian,"Iranic, nfd",Italian,Japanese,Kannada,Karen,Khmer,Kinyarwanda (Rwanda),Kirundi (Rundi),Konkani,Korean,Kurdish,Lao,Lithuanian,Loma (Lorma),Luganda,Macedonian,Malay,Malayalam,Maltese,Mandarin,Maori (Cook Island),Maori (New Zealand),Marathi,Mauritian Creole,Min Nan,Mongolian,Nepali,No international students recorded as living in this area.,Norwegian,Not stated,Nuer,Nyanja (Chichewa),Oriya,Oromo,Other Southern Asian Languages,Pashto,Persian (excluding Dari),"Pidgin, nfd",Polish,Portuguese,Punjabi,Rohingya,Romanian,Russian,Samoan,Serbian,Shilluk,Shona,Sindhi,Sinhalese,Slovak,Slovene,Somali,"Southern Asian Languages, nfd",Spanish,Swahili,Swedish,Tagalog,Tamil,Telugu,Tetum,Thai,Tibetan,Tigrinya,Tok Pisin (Neomelanesian),Tongan,Tswana,Turkish,Tuvaluan,Ukrainian,Urdu,Vietnamese,Wu,Yoruba,Zomi
1558,"LUCYVALE, VICTORIA, AUSTRALIA",LUCYVALE,30,147.6208862,-36.2836195,ckan_af33dd8c_0534_4e18_9245_fc64440f742e.1339,https://www.domain.com.au/rent/lucyvale-vic-3691//?ssubs=1,https://www.realestate.com.au/rent/in-lucyvale+3691/list-1,None,0,0,1,0.003,0.003,2136,0.919896641,10,No international students recorded as living in this area.,0,0,0,No international students recorded as living in this area.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1559,"LURG, VICTORIA, AUSTRALIA",LURG,225,146.1623601,-36.5828157,ckan_af33dd8c_0534_4e18_9245_fc64440f742e.1426,https://www.domain.com.au/rent/lurg-vic-3673//?ssubs=1,https://www.realestate.com.au/rent/in-lurg+3673/list-1,None,0,0,1,0.0225,0.0675,1453,0.625753661,7,No international students recorded as living in this area.,0,0,0,No international students recorded as living in this area.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1560,"LYAL, VICTORIA, AUSTRALIA",LYAL,0,144.4714979,-36.9427818,ckan_af33dd8c_0534_4e18_9245_fc64440f742e.2860,https://www.domain.com.au/rent/lyal-vic-3444//?ssubs=1,https://www.realestate.com.au/rent/in-lyal+3444/list-1,None,0,0,1,0,0,2232,0.96124031,10,No international students recorded as living in this area.,0,0,0,No international students recorded as living in this area.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1561,"LYNBROOK, VICTORIA, AUSTRALIA",LYNBROOK,8518,145.252,-38.05,ckan_af33dd8c_0534_4e18_9245_fc64440f742e.285,https://www.domain.com.au/rent/lynbrook-vic-3975//?ssubs=1,https://www.realestate.com.au/rent/in-lynbrook+3975/list-1,$350-$374,13,0.7130371,8,26.4058,490.6368,221,0.095176572,1,English,25,346,107,Malayalam,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,10,0,0,4,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
1562,"LYNDHURST, VICTORIA, AUSTRALIA",LYNDHURST,6722,145.2424941,-38.0704681,ckan_af33dd8c_0534_4e18_9245_fc64440f742e.284,https://www.domain.com.au/rent/lyndhurst-vic-3975//?ssubs=1,https://www.realestate.com.au/rent/in-lyndhurst+3975/list-1,$375-$399,14,0.7581278,8,12.7718,237.9588,278,0.119724376,2,English,3,249,100,Filipino,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,7,0,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10,0,0,0,6,0,0,0,0,8,0,0,0,0,0,6,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1563,"LYONS, VICTORIA, AUSTRALIA",LYONS,0,141.4592277,-38.0076276,ckan_af33dd8c_0534_4e18_9245_fc64440f742e.2394,https://www.domain.com.au/rent/lyons-vic-3304//?ssubs=1,https://www.realestate.com.au/rent/in-lyons+3304/list-1,None,0,0,1,0,0,2232,0.96124031,10,No international students recorded as living in this area.,0,0,0,No international students recorded as living in this area.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1564,"LYONVILLE, VICTORIA, AUSTRALIA",LYONVILLE,178,144.2628847,-37.3918627,ckan_af33dd8c_0534_4e18_9245_fc64440f742e.1204,https://www.domain.com.au/rent/lyonville-vic-3461//?ssubs=1,https://www.realestate.com.au/rent/in-lyonville+3461/list-1,None,0,0,1,0.0178,0.0178,1795,0.773040482,8,No international students recorded as living in this area.,0,0,0,No international students recorded as living in this area.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1565,"LYSTERFIELD SOUTH, VICTORIA, AUSTRALIA",LYSTERFIELD SOUTH,953,145.26,-37.949,ckan_af33dd8c_0534_4e18_9245_fc64440f742e.2424,https://www.domain.com.au/rent/lysterfield-south-vic-3156//?ssubs=1,https://www.realestate.com.au/rent/in-lysterfield+south+3156/list-1,None,0,0,1,0.8577,3.6214,663,0.285529716,3,English,9,9,643,English,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1566,"LYSTERFIELD, VICTORIA, AUSTRALIA",LYSTERFIELD,6665,145.301,-37.93,ckan_af33dd8c_0534_4e18_9245_fc64440f742e.1619,https://www.domain.com.au/rent/lysterfield-vic-3156//?ssubs=1,https://www.realestate.com.au/rent/in-lysterfield+3156/list-1,$450-$549,17,0.8824538,9,3.3325,168.6245,307,0.132213609,2,English,4,61,139,Sinhalese,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1567,"MACARTHUR, VICTORIA, AUSTRALIA",MACARTHUR,520,142.0046427,-38.027044,ckan_af33dd8c_0534_4e18_9245_fc64440f742e.144,https://www.domain.com.au/rent/macarthur-vic-3286//?ssubs=1,https://www.realestate.com.au/rent/in-macarthur+3286/list-1,$200-$224,7,0.3721614,4,0.052,0.832,881,0.379414298,4,English,5,5,643,English,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
