,LOCATION,SUBURB_TOWN_NAME,SUBURB_RESIDENTS,SUBURB_LONG,SUBURB_LAT,FID,DOMAIN_URL,REAL_ESTATE_COM_AU_URL,SUBURB_MOST_COMMON_EXPENSE_TIER,SUBURB_PRICE_RANGE_RANK,SUBURB_PRICE_RANK_IN_PERCENTILE,SUBURB_RENTAL_PRICE_SCALE_RANK,SUBURB_OFFENCES_PER_10000_POPULATION,TOTAL_2016_ADJUSTED_OFFENCES_PER_SUBURB_TOWN_NAME,SUBURB_TOWN_NAME_2016_ADJUSTED_CRIME_RANK,SUBURB_TOWN_NAME_2016_ADJUSTED_CRIME_RANK_PERCENTILE,ADJUSTED_CRIME_RANK_SCALE,SUBURB_MOST_INT_STUDENT_LANG,INT_STUDENT_POPULATION_ARRIVAL_ALL_YEARS,TOTAL_INT_STUDENTS_PER_SUBURB,TOTAL_INT_STUDENT_PER_LANGUAGE,TMP_INT_STUDENT_NATIVE_LANG,TMP_SUBURB_STUDENT_POPULATION_SCALE_RANK,Acholi,"African Languages, nec","African Languages, nfd",Afrikaans,Akan,Albanian,Amharic,Anuak,Arabic,Armenian,Assyrian Neo-Aramaic,Bengali,Bisaya,Bosnian,Bulgarian,Burmese,"Burmese and Related Languages, nec","Burmese and Related Languages, nfd",Cantonese,Catalan,Cebuano,Chaldean Neo-Aramaic,Chin Haka,"Chinese, nfd","Creole, nfd",Croatian,Czech,Danish,Dari,Dhivehi,Dinka,"Dravidian, nec",Dutch,English,Estonian,Fijian,Filipino,Finnish,French,"French Creole, nfd",German,Greek,Gujarati,Hakka,Harari,Hausa,Hazaraghi,Hebrew,Hindi,Hungarian,Iban,Igbo,Ilonggo (Hiligaynon),Inadequately described,Indonesian,"Iranic, nfd",Italian,Japanese,Kannada,Karen,Khmer,Kinyarwanda (Rwanda),Kirundi (Rundi),Konkani,Korean,Kurdish,Lao,Lithuanian,Loma (Lorma),Luganda,Macedonian,Malay,Malayalam,Maltese,Mandarin,Maori (Cook Island),Maori (New Zealand),Marathi,Mauritian Creole,Min Nan,Mongolian,Nepali,No international students recorded as living in this area.,Norwegian,Not stated,Nuer,Nyanja (Chichewa),Oriya,Oromo,Other Southern Asian Languages,Pashto,Persian (excluding Dari),"Pidgin, nfd",Polish,Portuguese,Punjabi,Rohingya,Romanian,Russian,Samoan,Serbian,Shilluk,Shona,Sindhi,Sinhalese,Slovak,Slovene,Somali,"Southern Asian Languages, nfd",Spanish,Swahili,Swedish,Tagalog,Tamil,Telugu,Tetum,Thai,Tibetan,Tigrinya,Tok Pisin (Neomelanesian),Tongan,Tswana,Turkish,Tuvaluan,Ukrainian,Urdu,Vietnamese,Wu,Yoruba,Zomi
1,"ABBEYARD, VICTORIA, AUSTRALIA",ABBEYARD,0,146.7640653,-37.0213248,ckan_af33dd8c_0534_4e18_9245_fc64440f742e.2157,https://www.domain.com.au/rent/abbeyard-vic-3737//?ssubs=1,https://www.realestate.com.au/rent/in-abbeyard+3737/list-1,None,0,0,1,0,0,2232,0.96124031,10,No international students recorded as living in this area.,0,0,0,No international students recorded as living in this area.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"ABBOTSFORD, VICTORIA, AUSTRALIA",ABBOTSFORD,8184,145.002,-37.803,ckan_af33dd8c_0534_4e18_9245_fc64440f742e.556,https://www.domain.com.au/rent/abbotsford-vic-3067//?ssubs=1,https://www.realestate.com.au/rent/in-abbotsford+3067/list-1,$450-$549,17,0.8824538,9,98.208,1313.532,125,0.053832903,1,Mandarin,21,347,130,Thai,9,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,10,0,0,0
3,"ABERFELDIE, VICTORIA, AUSTRALIA",ABERFELDIE,3897,144.901,-37.762,ckan_af33dd8c_0534_4e18_9245_fc64440f742e.409,https://www.domain.com.au/rent/aberfeldie-vic-3040//?ssubs=1,https://www.realestate.com.au/rent/in-aberfeldie+3040/list-1,$450-$549,17,0.8824538,9,0.3897,56.1168,396,0.170542636,2,English,12,20,643,English,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"ABERFELDY, VICTORIA, AUSTRALIA",ABERFELDY,0,146.3885869,-37.7206048,ckan_af33dd8c_0534_4e18_9245_fc64440f742e.388,https://www.domain.com.au/rent/aberfeldy-vic-3825//?ssubs=1,https://www.realestate.com.au/rent/in-aberfeldy+3825/list-1,None,0,0,1,0,0,2232,0.96124031,10,No international students recorded as living in this area.,0,0,0,No international students recorded as living in this area.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,"ACHERON, VICTORIA, AUSTRALIA",ACHERON,169,145.7040584,-37.2729634,ckan_af33dd8c_0534_4e18_9245_fc64440f742e.2088,https://www.domain.com.au/rent/acheron-vic-3714//?ssubs=1,https://www.realestate.com.au/rent/in-acheron+3714/list-1,None,0,0,1,0.0169,0.0169,1806,0.777777778,8,No international students recorded as living in this area.,0,0,0,No international students recorded as living in this area.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"ADA, VICTORIA, AUSTRALIA",ADA,0,144.993145,-37.837264,ckan_af33dd8c_0534_4e18_9245_fc64440f742e.2271,https://www.domain.com.au/rent/ada-vic-3833//?ssubs=1,https://www.realestate.com.au/rent/in-ada+3833/list-1,None,0,0,1,0,0,2232,0.96124031,10,No international students recorded as living in this area.,0,0,0,No international students recorded as living in this area.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"ADAMS ESTATE, VICTORIA, AUSTRALIA",ADAMS ESTATE,62,145.5323505,-38.4256676,ckan_af33dd8c_0534_4e18_9245_fc64440f742e.8,https://www.domain.com.au/rent/adams-estate-vic-3984//?ssubs=1,https://www.realestate.com.au/rent/in-adams+estate+3984/list-1,None,0,0,1,0.0062,0.0062,2040,0.878552972,9,No international students recorded as living in this area.,0,0,0,No international students recorded as living in this area.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"ADDINGTON, VICTORIA, AUSTRALIA",ADDINGTON,66,143.683333,-37.383333,ckan_af33dd8c_0534_4e18_9245_fc64440f742e.2661,https://www.domain.com.au/rent/addington-vic-3352//?ssubs=1,https://www.realestate.com.au/rent/in-addington+3352/list-1,None,0,0,1,0.0066,0.0132,1874,0.807062877,9,No international students recorded as living in this area.,0,0,0,No international students recorded as living in this area.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"ADELAIDE LEAD, VICTORIA, AUSTRALIA",ADELAIDE LEAD,82,143.679125,-37.0838207,ckan_af33dd8c_0534_4e18_9245_fc64440f742e.2466,https://www.domain.com.au/rent/adelaide-lead-vic-3465//?ssubs=1,https://www.realestate.com.au/rent/in-adelaide+lead+3465/list-1,None,0,0,1,0.0082,0.0082,1984,0.854435831,9,No international students recorded as living in this area.,0,0,0,No international students recorded as living in this area.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"AGNES, VICTORIA, AUSTRALIA",AGNES,0,146.3819528,-38.6577757,ckan_af33dd8c_0534_4e18_9245_fc64440f742e.923,https://www.domain.com.au/rent/agnes-vic-3962//?ssubs=1,https://www.realestate.com.au/rent/in-agnes+3962/list-1,None,0,0,1,0,0,2232,0.96124031,10,No international students recorded as living in this area.,0,0,0,No international students recorded as living in this area.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,"AINTREE, VICTORIA, AUSTRALIA",AINTREE,0,144.6580197,-37.7253096,ckan_af33dd8c_0534_4e18_9245_fc64440f742e.2755,https://www.domain.com.au/rent/aintree-vic-3336//?ssubs=1,https://www.realestate.com.au/rent/in-aintree+3336/list-1,None,0,0,1,0,0,2232,0.96124031,10,No international students recorded as living in this area.,0,0,0,No international students recorded as living in this area.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"AIRE VALLEY, VICTORIA, AUSTRALIA",AIRE VALLEY,0,143.5659848,-38.6922736,ckan_af33dd8c_0534_4e18_9245_fc64440f742e.582,https://www.domain.com.au/rent/aire-valley-vic-3237//?ssubs=1,https://www.realestate.com.au/rent/in-aire+valley+3237/list-1,None,0,0,1,0,0,2232,0.96124031,10,No international students recorded as living in this area.,0,0,0,No international students recorded as living in this area.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"AIREYS INLET, VICTORIA, AUSTRALIA",AIREYS INLET,805,144.1057661,-38.461511,ckan_af33dd8c_0534_4e18_9245_fc64440f742e.413,https://www.domain.com.au/rent/aireys-inlet-vic-3231//?ssubs=1,https://www.realestate.com.au/rent/in-aireys+inlet+3231/list-1,$375-$399,14,0.7581278,8,0.161,2.3345,719,0.309646856,4,No international students recorded as living in this area.,0,0,0,No international students recorded as living in this area.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,"AIRLY, VICTORIA, AUSTRALIA",AIRLY,143,147.1149275,-38.0279745,ckan_af33dd8c_0534_4e18_9245_fc64440f742e.316,https://www.domain.com.au/rent/airly-vic-3851//?ssubs=1,https://www.realestate.com.au/rent/in-airly+3851/list-1,None,0,0,1,0.0143,0.0143,1848,0.795865633,8,No international students recorded as living in this area.,0,0,0,No international students recorded as living in this area.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,"AIRPORT WEST, VICTORIA, AUSTRALIA",AIRPORT WEST,7562,144.879,-37.724,ckan_af33dd8c_0534_4e18_9245_fc64440f742e.301,https://www.domain.com.au/rent/airport-west-vic-3042//?ssubs=1,https://www.realestate.com.au/rent/in-airport+west+3042/list-1,$350-$374,13,0.7130371,8,0.7562,784.9356,180,0.07751938,1,Persian (excluding Dari),15,84,128,Persian (excluding Dari),8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"ALBACUTYA, VICTORIA, AUSTRALIA",ALBACUTYA,0,141.9661831,-35.7395619,ckan_af33dd8c_0534_4e18_9245_fc64440f742e.213,https://www.domain.com.au/rent/albacutya-vic-3424//?ssubs=1,https://www.realestate.com.au/rent/in-albacutya+3424/list-1,None,0,0,1,0,0,2232,0.96124031,10,No international students recorded as living in this area.,0,0,0,No international students recorded as living in this area.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,"ALBANVALE, VICTORIA, AUSTRALIA",ALBANVALE,5494,144.765,-37.746,ckan_af33dd8c_0534_4e18_9245_fc64440f742e.499,https://www.domain.com.au/rent/albanvale-vic-3021//?ssubs=1,https://www.realestate.com.au/rent/in-albanvale+3021/list-1,$300-$324,11,0.6102761,7,0.5494,156.0296,315,0.135658915,2,English,43,159,643,English,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0
18,"ALBERT PARK, VICTORIA, AUSTRALIA",ALBERT PARK,6214,144.95,-37.842,ckan_af33dd8c_0534_4e18_9245_fc64440f742e.624,https://www.domain.com.au/rent/albert-park-vic-3206//?ssubs=1,https://www.realestate.com.au/rent/in-albert+park+3206/list-1,$450-$549,17,0.8824538,9,0.6214,393.9676,245,0.105512489,2,English,3,95,26,Greek,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,4,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,"ALBERTON WEST, VICTORIA, AUSTRALIA",ALBERTON WEST,81,146.590556,-38.6,ckan_af33dd8c_0534_4e18_9245_fc64440f742e.2380,https://www.domain.com.au/rent/alberton-west-vic-3971//?ssubs=1,https://www.realestate.com.au/rent/in-alberton+west+3971/list-1,None,0,0,1,0.0081,0.0162,1825,0.785960379,8,No international students recorded as living in this area.,0,0,0,No international students recorded as living in this area.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"ALBERTON, VICTORIA, AUSTRALIA",ALBERTON,262,146.666667,-38.616667,ckan_af33dd8c_0534_4e18_9245_fc64440f742e.2332,https://www.domain.com.au/rent/alberton-vic-3971//?ssubs=1,https://www.realestate.com.au/rent/in-alberton+3971/list-1,$100-$124,3,1,10,0.0262,0.2358,1130,0.48664944,5,No international students recorded as living in this area.,0,0,0,No international students recorded as living in this area.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,"ALBION, VICTORIA, AUSTRALIA",ALBION,0,144.765,-37.746,ckan_af33dd8c_0534_4e18_9245_fc64440f742e.603,https://www.domain.com.au/rent/albion-vic-3020//?ssubs=1,https://www.realestate.com.au/rent/in-albion+3020/list-1,$200-$224,7,0.3721614,4,0,0,2232,0.96124031,10,Punjabi,22,381,194,Hindi,9,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,9,0,0,0,0,6,0,0,0,0,0,0,9,9,0,0,0
22,"ALEXANDRA, VICTORIA, AUSTRALIA",ALEXANDRA,0,144.765,-37.746,ckan_af33dd8c_0534_4e18_9245_fc64440f742e.1992,https://www.domain.com.au/rent/alexandra-vic-3714//?ssubs=1,https://www.realestate.com.au/rent/in-alexandra+3714/list-1,$200-$224,7,0.3721614,4,0,0,2232,0.96124031,10,English,4,4,643,English,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"ALFREDTON, VICTORIA, AUSTRALIA",ALFREDTON,9223,143.8,-37.555,ckan_af33dd8c_0534_4e18_9245_fc64440f742e.1931,https://www.domain.com.au/rent/alfredton-vic-3350//?ssubs=1,https://www.realestate.com.au/rent/in-alfredton+3350/list-1,$300-$324,11,0.6102761,7,1.8446,465.7615,227,0.097760551,1,English,4,97,100,Filipino,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
24,"ALLAMBEE RESERVE, VICTORIA, AUSTRALIA",ALLAMBEE RESERVE,0,146.0528724,-38.3022517,ckan_af33dd8c_0534_4e18_9245_fc64440f742e.1671,https://www.domain.com.au/rent/allambee-reserve-vic-3871//?ssubs=1,https://www.realestate.com.au/rent/in-allambee+reserve+3871/list-1,None,0,0,1,0,0,2232,0.96124031,10,No international students recorded as living in this area.,0,0,0,No international students recorded as living in this area.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"ALLAMBEE SOUTH, VICTORIA, AUSTRALIA",ALLAMBEE SOUTH,76,146.1086461,-38.3485607,ckan_af33dd8c_0534_4e18_9245_fc64440f742e.1026,https://www.domain.com.au/rent/allambee-south-vic-3871//?ssubs=1,https://www.realestate.com.au/rent/in-allambee+south+3871/list-1,None,0,0,1,0.0076,0.0152,1836,0.790697674,8,No international students recorded as living in this area.,0,0,0,No international students recorded as living in this area.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,"ALLAMBEE, VICTORIA, AUSTRALIA",ALLAMBEE,24,146.0196656,-38.2905436,ckan_af33dd8c_0534_4e18_9245_fc64440f742e.143,https://www.domain.com.au/rent/allambee-vic-3823//?ssubs=1,https://www.realestate.com.au/rent/in-allambee+3823/list-1,None,0,0,1,0.0024,0.0024,2159,0.929801895,10,No international students recorded as living in this area.,0,0,0,No international students recorded as living in this area.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,"ALLANS FLAT, VICTORIA, AUSTRALIA",ALLANS FLAT,318,146.9263742,-36.2870441,ckan_af33dd8c_0534_4e18_9245_fc64440f742e.1502,https://www.domain.com.au/rent/allans-flat-vic-3691//?ssubs=1,https://www.realestate.com.au/rent/in-allans+flat+3691/list-1,$275-$299,10,0.5485215,6,0.0318,0.1908,1192,0.51335056,6,No international students recorded as living in this area.,0,0,0,No international students recorded as living in this area.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
